hallmark_name	comparison	pathway_score_difference	tukey_p_value	bonferroni_pvalue	significant_tukey	significant_tukey_bonf
HALLMARK_ADIPOGENESIS	Progressive-Diagnosis	0.12205050104858195	0.8690946897641499	1	FALSE	FALSE
HALLMARK_ADIPOGENESIS	Recurrence-Diagnosis	0.0419261955442589	0.9814510502664694	1	FALSE	FALSE
HALLMARK_ADIPOGENESIS	Deceased-Diagnosis	-0.11064609151768881	0.7035501101246827	1	FALSE	FALSE
HALLMARK_ADIPOGENESIS	Recurrence-Progressive	-0.08012430550432305	0.9567180789144029	1	FALSE	FALSE
HALLMARK_ADIPOGENESIS	Deceased-Progressive	-0.23269659256627076	0.46376833140746143	1	FALSE	FALSE
HALLMARK_ADIPOGENESIS	Deceased-Recurrence	-0.1525722870619477	0.4766650564510211	1	FALSE	FALSE
HALLMARK_ALLOGRAFT_REJECTION	Progressive-Diagnosis	-0.020985904067416628	0.9950129244182497	1	FALSE	FALSE
HALLMARK_ALLOGRAFT_REJECTION	Recurrence-Diagnosis	-0.13976143578872102	0.19732167388846322	1	FALSE	FALSE
HALLMARK_ALLOGRAFT_REJECTION	Deceased-Diagnosis	-0.07562897137759295	0.5638168045616551	1	FALSE	FALSE
HALLMARK_ALLOGRAFT_REJECTION	Recurrence-Progressive	-0.1187755317213044	0.5687911190378174	1	FALSE	FALSE
HALLMARK_ALLOGRAFT_REJECTION	Deceased-Progressive	-0.05464306731017632	0.9136819312179012	1	FALSE	FALSE
HALLMARK_ALLOGRAFT_REJECTION	Deceased-Recurrence	0.06413246441112808	0.6777324855150688	1	FALSE	FALSE
HALLMARK_ANDROGEN_RESPONSE	Progressive-Diagnosis	0.014007220059748651	0.9998062961990213	1	FALSE	FALSE
HALLMARK_ANDROGEN_RESPONSE	Recurrence-Diagnosis	0.08382440838536177	0.9055065754310851	1	FALSE	FALSE
HALLMARK_ANDROGEN_RESPONSE	Deceased-Diagnosis	-0.06403536286177333	0.9376394218014938	1	FALSE	FALSE
HALLMARK_ANDROGEN_RESPONSE	Recurrence-Progressive	0.06981718832561312	0.9777616864644342	1	FALSE	FALSE
HALLMARK_ANDROGEN_RESPONSE	Deceased-Progressive	-0.07804258292152197	0.9646938327570822	1	FALSE	FALSE
HALLMARK_ANDROGEN_RESPONSE	Deceased-Recurrence	-0.1478597712471351	0.5759174304968468	1	FALSE	FALSE
HALLMARK_ANGIOGENESIS	Progressive-Diagnosis	0.2333258640001235	0.857917341153755	1	FALSE	FALSE
HALLMARK_ANGIOGENESIS	Recurrence-Diagnosis	-0.2146826857589681	0.7401919278993154	1	FALSE	FALSE
HALLMARK_ANGIOGENESIS	Deceased-Diagnosis	-0.027684455896607563	0.9987482840754878	1	FALSE	FALSE
HALLMARK_ANGIOGENESIS	Recurrence-Progressive	-0.4480085497590916	0.4732555907795265	1	FALSE	FALSE
HALLMARK_ANGIOGENESIS	Deceased-Progressive	-0.26101031989673107	0.7906682951723617	1	FALSE	FALSE
HALLMARK_ANGIOGENESIS	Deceased-Recurrence	0.18699822986236053	0.75454589098186	1	FALSE	FALSE
HALLMARK_APICAL_JUNCTION	Progressive-Diagnosis	0.0630694551011653	0.9816346155266176	1	FALSE	FALSE
HALLMARK_APICAL_JUNCTION	Recurrence-Diagnosis	-0.06429274681080696	0.9488111063292688	1	FALSE	FALSE
HALLMARK_APICAL_JUNCTION	Deceased-Diagnosis	0.027962951674304216	0.9934481669667368	1	FALSE	FALSE
HALLMARK_APICAL_JUNCTION	Recurrence-Progressive	-0.12736220191197226	0.8762413850686926	1	FALSE	FALSE
HALLMARK_APICAL_JUNCTION	Deceased-Progressive	-0.035106503426861085	0.9961190893343184	1	FALSE	FALSE
HALLMARK_APICAL_JUNCTION	Deceased-Recurrence	0.09225569848511117	0.8279997042866696	1	FALSE	FALSE
HALLMARK_APICAL_SURFACE	Progressive-Diagnosis	0.2705114952309865	0.6418835690654798	1	FALSE	FALSE
HALLMARK_APICAL_SURFACE	Recurrence-Diagnosis	-0.28791947128737216	0.3351545996086155	1	FALSE	FALSE
