gene_name	qglobal_cv
TP53	0
AHNAK	0
UBB	0
BRAF	0
PIK3CA	0
ISM2	0
CTNNB1	0
H3-3A	0
IDH1	0
TEX13D	0
RPL10	0
NF2	0
NF1	0
PPM1D	0
CEP170	0
ATRX	0
PTEN	0
SMARCB1	9.652525692318806e-13
BCOR	4.195038468648554e-11
FUBP1	7.688236713931929e-11
UBC	1.3217065537267965e-10
ATAD3B	1.409707502246378e-10
CDKN2A	4.758170572525545e-10
KRAS	1.3284288484053757e-9
SETD2	1.7120877870979711e-9
LYZL2	1.5313574229193815e-8
AHNAK2	2.310508987427532e-8
SPDYE1	4.659023358380817e-8
FGFR1	8.12194133557349e-8
SEMG2	3.54266491201886e-7
EGFR	4.3641889683449845e-7
ACVR1	1.1078710419262783e-6
HIST1H3B	3.3418256874411174e-6
TAS2R19	3.954248004256478e-6
CIC	8.537935857555467e-6
IFITM3	1.0156861532797626e-5
CT45A9	1.5511460093006822e-5
PRX	1.9552687890176273e-5
HYAL3	2.188388112657231e-5
ZNF696	7.874406409325547e-5
CYP2A6	7.874406409325547e-5
DDX3X	7.874406409325547e-5
SAP30	7.986332586742262e-5
GZMH	8.157831650660509e-5
PIK3R1	1.1211159223453294e-4
PTCH1	1.7276813814485733e-4
CYP4F2	2.5092268064141654e-4
HCFC1	2.637999845282411e-4
PDGFRA	2.96987647226965e-4
NBPF10	3.0475231939127047e-4
PTPN11	3.1427411261475847e-4
ADAMTS2	3.419247614520188e-4
MUC16	5.347824211000572e-4
SLC35G6	5.455897847553231e-4
OR10G2	5.619989750756525e-4
KDM6A	5.711213413302057e-4
SLC10A4	5.711213413302057e-4
SOX10	5.844808713575783e-4
SLC35G5	5.967478553033828e-4
CDKN2C	6.07578805114195e-4
ZNF347	6.390106017493998e-4
NUP188	6.952107362693035e-4
FLG2	9.321157323488788e-4
HLA-A	0.0017468876532064533
KMT2D	0.002493156203671457
ARID1A	0.0030348541623566173
PABPC3	0.003828069723474133
FAM25C	0.003828069723474133
SPATA31E1	0.0039471659184050125
HLA-C	0.004835757309409667
CYP2D7	0.005259649782690142
OR2T34	0.006684976732694584
STAG2	0.007096850916465609
PLIN4	0.008522645356757553
SMARCA4	0.009938673196175328
MAX	0.013830923723112504
RPS15	0.014349584708799743
H1FX	0.014779065481618794
HNRNPA2B1	0.01557430835439399
CHTF18	0.01581980935959901
RETSAT	0.01581980935959901
PRSS1	0.016194771846881357
CFL1	0.023123853189701022
OR2T33	0.023123853189701022
ASXL1	0.02380050277812231
SLC9B1	0.025770860778044948
RANBP2	0.028692801346016306
NOS2	0.02950739410736472
OR2T4	0.02950739410736472
CCDC74A	0.03476652273263105
RASAL1	0.03476652273263105
TSPY8	0.03476652273263105
ACADVL	0.03559601014472257
PSMC5	0.038754583069584174
VWF	0.0404509496818164
FKBP1C	0.04144849159344448
HLA-B	0.042665727037025744
LILRB2	0.04925552769185097
CRIP2	0.05030603569544428
QKI	0.053686545106705626
TGOLN2	0.05548667186888175
ZNF479	0.0563856571255586
CNBP	0.05742531295395578
TCHH	0.05742531295395578
GNPTG	0.06046619287957029
NELFB	0.06645557196712745
HRNR	0.06904777951732444
MMP9	0.06947802693856964
ZNF43	0.07240546391290162
USP9X	0.07950340645420952
ZNF296	0.07950340645420952
CCL23	0.08231740535226735
GAL3ST2	0.08532838520047077
EEF2	0.08532838520047077
CBL	0.08532838520047077
EIF2S3B	0.08532838520047077
MAP1LC3A	0.08663306054710172
PDPR	0.08663306054710172
ZNF780B	0.08744685496340425
ACTG1	0.09761595006964137
